Measure Names,Occupation,Measure Values
Number of non-mothers,Real estate brokers and sales agents,"142,844"
Percent Mothers,Real estate brokers and sales agents,54.34
Percent Non-Mothers,Real estate brokers and sales agents,45.66
Representation gap,Real estate brokers and sales agents,8.680000000
Number of mothers,Receptionists and information clerks,"267,721"
Number of non-mothers,Receptionists and information clerks,"323,017"
Percent Mothers,Receptionists and information clerks,45.32
Percent Non-Mothers,Receptionists and information clerks,54.68
Representation gap,Receptionists and information clerks,-9.36
Number of mothers,Registered nurses,"1,234,274"
Number of non-mothers,Registered nurses,"1,081,224"
Percent Mothers,Registered nurses,53.3
Percent Non-Mothers,Registered nurses,46.7
Representation gap,Registered nurses,6.6
Number of mothers,Retail salespersons,"261,236"
Number of non-mothers,Retail salespersons,"363,805"
Percent Mothers,Retail salespersons,41.8
Percent Non-Mothers,Retail salespersons,58.2
Representation gap,Retail salespersons,-16.4
Number of mothers,"Sales representatives, wholesale and manufacturing","106,983"
Number of non-mothers,"Sales representatives, wholesale and manufacturing","135,579"
Percent Mothers,"Sales representatives, wholesale and manufacturing",44.11
Percent Non-Mothers,"Sales representatives, wholesale and manufacturing",55.89
Representation gap,"Sales representatives, wholesale and manufacturing",-11.78
Number of mothers,Secondary school teachers,"302,629"
Number of non-mothers,Secondary school teachers,"245,141"
Percent Mothers,Secondary school teachers,55.25
Percent Non-Mothers,Secondary school teachers,44.75
Representation gap,Secondary school teachers,10.5
Number of mothers,"Secretaries and administrative assistants, except legal, medical, and executive","526,716"
Number of non-mothers,"Secretaries and administrative assistants, except legal, medical, and executive","563,916"
Percent Mothers,"Secretaries and administrative assistants, except legal, medical, and executive",48.29
Percent Non-Mothers,"Secretaries and administrative assistants, except legal, medical, and executive",51.71
Representation gap,"Secretaries and administrative assistants, except legal, medical, and executive",-3.42
Number of mothers,Social and community service managers,"119,366"
Number of non-mothers,Social and community service managers,"144,071"
Percent Mothers,Social and community service managers,45.31
Percent Non-Mothers,Social and community service managers,54.69
Representation gap,Social and community service managers,-9.38
Number of mothers,"Social workers, all other","175,643"
Number of non-mothers,"Social workers, all other","212,191"
Percent Mothers,"Social workers, all other",45.29
Percent Non-Mothers,"Social workers, all other",54.71
Representation gap,"Social workers, all other",-9.42
Number of mothers,Software developers,"136,402"
Number of non-mothers,Software developers,"186,242"
Percent Mothers,Software developers,42.28
Percent Non-Mothers,Software developers,57.72
Representation gap,Software developers,-15.44
Number of mothers,Special education teachers,"144,315"
Number of non-mothers,Special education teachers,"125,119"
Percent Mothers,Special education teachers,53.56
Percent Non-Mothers,Special education teachers,46.44
Representation gap,Special education teachers,7.12
Number of mothers,Stockers and order fillers,"136,830"
Number of non-mothers,Stockers and order fillers,"204,339"
Percent Mothers,Stockers and order fillers,40.11
Percent Non-Mothers,Stockers and order fillers,59.89
Representation gap,Stockers and order fillers,-19.78
Number of mothers,Teaching assistants,"416,951"
Number of non-mothers,Teaching assistants,"312,327"
Percent Mothers,Teaching assistants,57.17
Percent Non-Mothers,Teaching assistants,42.83
Representation gap,Teaching assistants,14.34
Number of mothers,Waiters and waitresses,"245,857"
Number of non-mothers,Waiters and waitresses,"323,309"
Percent Mothers,Waiters and waitresses,43.2
Percent Non-Mothers,Waiters and waitresses,56.8
Representation gap,Waiters and waitresses,-13.6
